Name,lattitude,Temperature,Humidity,Cloudiness,Windspeed
Kovur,14.5,296.79,84,21,2.55
Dhuburi,26.03,290.52,67,0,2.92
Provideniya,64.42,271.98,98,100,12.42
Port Hedland,-20.31,300.15,61,0,4.1
Isiro,2.77,294.03,65,8,0.34
Albany,42.65,270.33,58,75,4.6
Puerto Ayora,-0.74,297.26,61,20,5.7
Bredasdorp,-34.53,292.82,60,90,7.7
Avarua,-21.21,297.15,73,100,4.1
Kirsanov,52.65,274.5,97,100,5.27
Lyskovo,56.03,275.37,96,100,6.74
Darhan,49.49,259.8,81,99,1.73
Port Lincoln,-34.72,292.78,58,94,5.77
Nadbai,27.22,288.97,51,0,0.43
Arraial do Cabo,-22.97,300.66,65,31,8.7
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Hithadhoo,-0.6,301.45,79,92,6.06
Vaini,15.34,293.01,85,100,2.76
Qaanaaq,77.48,253.97,64,93,3.55
Tecoanapa,16.99,302.15,54,5,1.5
Tuktoyaktuk,69.44,245.15,75,5,5.1
Fortuna,40.6,283.85,100,90,2.6
Punta Arenas,-53.16,286.03,62,75,7.2
Torbay,47.66,270.51,73,75,5.7
Pando,-34.72,302.81,23,20,7.7
Zabid,14.2,289.48,81,60,1.11
San Patricio,-26.98,307.12,25,11,1.7
Makakilo City,21.35,292.88,93,1,0.13
Ostrovnoy,68.05,272.39,98,100,6.86
Oranjemund,-28.55,291.37,81,83,4.13
Surgana,20.56,293.99,53,15,1.87
Hervey Bay,-25.3,295.58,88,0,3.1
Vila Velha,-3.71,302.69,52,40,5.7
Bethel,60.79,271.14,86,1,4.6
Poum,41.28,277.15,86,20,1.5
Andros Town,24.73,298.58,57,20,5.7
Dingle,11.0,296.66,91,13,5.47
Dzilam Gonzalez,21.28,297.64,73,0,2.16
Ponta do Sol,-20.63,299.46,69,94,2.86
Rafsanjan,30.4,285.01,51,15,4.78
Tasiilaq,65.61,269.15,73,83,2.6
Kamenka,48.03,272.04,89,66,2.07
Saint Anthony,43.97,274.72,96,90,7.2
Buchanan,5.88,303.15,79,75,3.1
Mocuba,-16.84,298.25,81,64,2.53
Hofn,64.25,272.15,58,20,10.3
Port Alfred,-33.59,292.04,73,94,2.68
Hobart,-42.88,285.54,62,94,4.1
Busselton,-33.64,284.06,47,0,4.8
Kovur,14.5,296.79,84,21,2.55
Dhuburi,26.03,290.52,67,0,2.92
Provideniya,64.42,271.98,98,100,12.42
Port Hedland,-20.31,300.15,61,0,4.1
Isiro,2.77,294.03,65,8,0.34
Albany,42.65,270.33,58,75,4.6
Puerto Ayora,-0.74,297.26,61,20,5.7
Bredasdorp,-34.53,292.82,60,90,7.7
Avarua,-21.21,297.15,73,100,4.1
Kirsanov,52.65,274.5,97,100,5.27
Lyskovo,56.03,275.37,96,100,6.74
Darhan,49.49,259.8,81,99,1.73
Port Lincoln,-34.72,292.78,58,94,5.77
Nadbai,27.22,288.97,51,0,0.43
Arraial do Cabo,-22.97,300.66,65,31,8.7
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Cherskiy,68.75,242.98,98,100,0.86
Waingapu,-9.65,302.26,71,19,1.6
Healdsburg,38.61,285.05,100,90,2.1
Nikolskoye,59.7,275.18,83,75,7.0
Berlevag,70.86,271.67,92,90,4.6
Lokosovo,61.13,261.89,95,81,3.58
Stony Mountain,50.09,254.95,70,40,7.2
Nizwa,22.93,292.43,75,66,1.02
Rome,41.89,285.72,76,75,0.5
San Patricio,-26.98,307.12,25,11,1.7
Makakilo City,21.35,292.88,93,1,0.13
Ostrovnoy,68.05,272.39,98,100,6.86
Oranjemund,-28.55,291.37,81,83,4.13
Surgana,20.56,293.99,53,15,1.87
Hervey Bay,-25.3,295.58,88,0,3.1
Vila Velha,-3.71,302.69,52,40,5.7
Bethel,60.79,271.14,86,1,4.6
Poum,41.28,277.15,86,20,1.5
Andros Town,24.73,298.58,57,20,5.7
Dingle,11.0,296.66,91,13,5.47
Dzilam Gonzalez,21.28,297.64,73,0,2.16
Ponta do Sol,-20.63,299.46,69,94,2.86
Rafsanjan,30.4,285.01,51,15,4.78
Tasiilaq,65.61,269.15,73,83,2.6
Kamenka,48.03,272.04,89,66,2.07
Saint Anthony,43.97,274.72,96,90,7.2
Buchanan,5.88,303.15,79,75,3.1
Mocuba,-16.84,298.25,81,64,2.53
Hofn,64.25,272.15,58,20,10.3
Port Alfred,-33.59,292.04,73,94,2.68
Hobart,-42.88,285.54,62,94,4.1
Busselton,-33.64,284.06,47,0,4.8
Kovur,14.5,296.79,84,21,2.55
Dhuburi,26.03,290.52,67,0,2.92
Provideniya,64.42,271.98,98,100,12.42
Port Hedland,-20.31,300.15,61,0,4.1
Isiro,2.77,294.03,65,8,0.34
Albany,42.65,270.33,58,75,4.6
Puerto Ayora,-0.74,297.26,61,20,5.7
Bredasdorp,-34.53,292.82,60,90,7.7
Avarua,-21.21,297.15,73,100,4.1
Kirsanov,52.65,274.5,97,100,5.27
Lyskovo,56.03,275.37,96,100,6.74
Darhan,49.49,259.8,81,99,1.73
Port Lincoln,-34.72,292.78,58,94,5.77
Nadbai,27.22,288.97,51,0,0.43
Arraial do Cabo,-22.97,300.66,65,31,8.7
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Cherskiy,68.75,242.98,98,100,0.86
Waingapu,-9.65,302.26,71,19,1.6
Healdsburg,38.61,285.05,100,90,2.1
Nikolskoye,59.7,275.18,83,75,7.0
Berlevag,70.86,271.67,92,90,4.6
Lokosovo,61.13,261.89,95,81,3.58
Stony Mountain,50.09,254.95,70,40,7.2
Nizwa,22.93,292.43,75,66,1.02
Rome,41.89,285.72,76,75,0.5
Belyy Yar,53.6,272.15,86,75,6.0
Verkhoyansk,67.55,237.42,80,0,0.67
Mangrol,25.33,288.76,54,0,2.76
Nanortalik,60.14,273.59,66,100,6.59
Kavieng,-2.57,302.07,73,100,3.52
Katiola,8.14,305.15,40,20,3.1
Chuy,-33.69,301.81,33,0,3.64
Karratha,-20.74,302.84,46,0,8.16
Victoria,5.28,297.59,88,75,1.5
Tiksi,71.64,241.42,83,1,2.92
Dingle,11.0,296.66,91,13,5.47
Dzilam Gonzalez,21.28,297.64,73,0,2.16
Ponta do Sol,-20.63,299.46,69,94,2.86
Rafsanjan,30.4,285.01,51,15,4.78
Tasiilaq,65.61,269.15,73,83,2.6
Kamenka,48.03,272.04,89,66,2.07
Saint Anthony,43.97,274.72,96,90,7.2
Buchanan,5.88,303.15,79,75,3.1
Mocuba,-16.84,298.25,81,64,2.53
Hofn,64.25,272.15,58,20,10.3
Port Alfred,-33.59,292.04,73,94,2.68
Hobart,-42.88,285.54,62,94,4.1
Busselton,-33.64,284.06,47,0,4.8
Kovur,14.5,296.79,84,21,2.55
Dhuburi,26.03,290.52,67,0,2.92
Provideniya,64.42,271.98,98,100,12.42
Port Hedland,-20.31,300.15,61,0,4.1
Isiro,2.77,294.03,65,8,0.34
Albany,42.65,270.33,58,75,4.6
Puerto Ayora,-0.74,297.26,61,20,5.7
Bredasdorp,-34.53,292.82,60,90,7.7
Avarua,-21.21,297.15,73,100,4.1
Kirsanov,52.65,274.5,97,100,5.27
Lyskovo,56.03,275.37,96,100,6.74
Darhan,49.49,259.8,81,99,1.73
Port Lincoln,-34.72,292.78,58,94,5.77
Nadbai,27.22,288.97,51,0,0.43
Arraial do Cabo,-22.97,300.66,65,31,8.7
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Cherskiy,68.75,242.98,98,100,0.86
Waingapu,-9.65,302.26,71,19,1.6
Healdsburg,38.61,285.05,100,90,2.1
Nikolskoye,59.7,275.18,83,75,7.0
Berlevag,70.86,271.67,92,90,4.6
Lokosovo,61.13,261.89,95,81,3.58
Stony Mountain,50.09,254.95,70,40,7.2
Nizwa,22.93,292.43,75,66,1.02
Rome,41.89,285.72,76,75,0.5
Belyy Yar,53.6,272.15,86,75,6.0
Verkhoyansk,67.55,237.42,80,0,0.67
Mangrol,25.33,288.76,54,0,2.76
Nanortalik,60.14,273.59,66,100,6.59
Kavieng,-2.57,302.07,73,100,3.52
Katiola,8.14,305.15,40,20,3.1
Chuy,-33.69,301.81,33,0,3.64
Karratha,-20.74,302.84,46,0,8.16
Victoria,5.28,297.59,88,75,1.5
Tiksi,71.64,241.42,83,1,2.92
Lebu,8.96,287.17,77,81,0.68
Milkovo,41.53,283.07,52,20,3.6
Khandyga,62.65,231.83,91,48,0.44
Kalmunai,7.42,300.36,79,100,6.41
Ixtapa,20.71,299.78,65,5,1.64
Lata,30.78,268.36,5,31,3.44
Hermanus,-34.42,293.82,74,29,6.26
Cape Town,-33.93,295.01,53,20,8.7
Cuxhaven,53.87,280.61,81,20,9.3
Barrow,-38.31,303.93,16,32,7.96
Hofn,64.25,272.15,58,20,10.3
Port Alfred,-33.59,292.04,73,94,2.68
Hobart,-42.88,285.54,62,94,4.1
Busselton,-33.64,284.06,47,0,4.8
Kovur,14.5,296.79,84,21,2.55
Dhuburi,26.03,290.52,67,0,2.92
Provideniya,64.42,271.98,98,100,12.42
Port Hedland,-20.31,300.15,61,0,4.1
Isiro,2.77,294.03,65,8,0.34
Albany,42.65,270.33,58,75,4.6
Puerto Ayora,-0.74,297.26,61,20,5.7
Bredasdorp,-34.53,292.82,60,90,7.7
Avarua,-21.21,297.15,73,100,4.1
Kirsanov,52.65,274.5,97,100,5.27
Lyskovo,56.03,275.37,96,100,6.74
Darhan,49.49,259.8,81,99,1.73
Port Lincoln,-34.72,292.78,58,94,5.77
Nadbai,27.22,288.97,51,0,0.43
Arraial do Cabo,-22.97,300.66,65,31,8.7
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Cherskiy,68.75,242.98,98,100,0.86
Waingapu,-9.65,302.26,71,19,1.6
Healdsburg,38.61,285.05,100,90,2.1
Nikolskoye,59.7,275.18,83,75,7.0
Berlevag,70.86,271.67,92,90,4.6
Lokosovo,61.13,261.89,95,81,3.58
Stony Mountain,50.09,254.95,70,40,7.2
Nizwa,22.93,292.43,75,66,1.02
Rome,41.89,285.72,76,75,0.5
Belyy Yar,53.6,272.15,86,75,6.0
Verkhoyansk,67.55,237.42,80,0,0.67
Mangrol,25.33,288.76,54,0,2.76
Nanortalik,60.14,273.59,66,100,6.59
Kavieng,-2.57,302.07,73,100,3.52
Katiola,8.14,305.15,40,20,3.1
Chuy,-33.69,301.81,33,0,3.64
Karratha,-20.74,302.84,46,0,8.16
Victoria,5.28,297.59,88,75,1.5
Tiksi,71.64,241.42,83,1,2.92
Lebu,8.96,287.17,77,81,0.68
Milkovo,41.53,283.07,52,20,3.6
Khandyga,62.65,231.83,91,48,0.44
Kalmunai,7.42,300.36,79,100,6.41
Ixtapa,20.71,299.78,65,5,1.64
Lata,30.78,268.36,5,31,3.44
Hermanus,-34.42,293.82,74,29,6.26
Cape Town,-33.93,295.01,53,20,8.7
Cuxhaven,53.87,280.61,81,20,9.3
Barrow,-38.31,303.93,16,32,7.96
Sioux Lookout,50.1,255.73,64,75,4.6
Georgetown,6.8,300.68,88,75,1.0
Ewa Beach,21.32,292.87,83,20,1.5
Bambous Virieux,-20.34,299.09,94,75,1.5
Geraldton,49.72,260.15,71,90,5.7
Bouza,14.42,298.29,11,0,4.46
Lima,-12.06,296.15,73,90,1.5
Ketchikan,55.34,274.18,70,90,2.6
Puerto Ayora,-0.74,297.26,61,20,5.7
Bredasdorp,-34.53,292.82,60,90,7.7
Avarua,-21.21,297.15,73,100,4.1
Kirsanov,52.65,274.5,97,100,5.27
Lyskovo,56.03,275.37,96,100,6.74
Darhan,49.49,259.8,81,99,1.73
Port Lincoln,-34.72,292.78,58,94,5.77
Nadbai,27.22,288.97,51,0,0.43
Arraial do Cabo,-22.97,300.66,65,31,8.7
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Cherskiy,68.75,242.98,98,100,0.86
Waingapu,-9.65,302.26,71,19,1.6
Healdsburg,38.61,285.05,100,90,2.1
Nikolskoye,59.7,275.18,83,75,7.0
Berlevag,70.86,271.67,92,90,4.6
Lokosovo,61.13,261.89,95,81,3.58
Stony Mountain,50.09,254.95,70,40,7.2
Nizwa,22.93,292.43,75,66,1.02
Rome,41.89,285.72,76,75,0.5
Belyy Yar,53.6,272.15,86,75,6.0
Verkhoyansk,67.55,237.42,80,0,0.67
Mangrol,25.33,288.76,54,0,2.76
Nanortalik,60.14,273.59,66,100,6.59
Kavieng,-2.57,302.07,73,100,3.52
Katiola,8.14,305.15,40,20,3.1
Chuy,-33.69,301.81,33,0,3.64
Karratha,-20.74,302.84,46,0,8.16
Victoria,5.28,297.59,88,75,1.5
Tiksi,71.64,241.42,83,1,2.92
Lebu,8.96,287.17,77,81,0.68
Milkovo,41.53,283.07,52,20,3.6
Khandyga,62.65,231.83,91,48,0.44
Kalmunai,7.42,300.36,79,100,6.41
Ixtapa,20.71,299.78,65,5,1.64
Lata,30.78,268.36,5,31,3.44
Hermanus,-34.42,293.82,74,29,6.26
Cape Town,-33.93,295.01,53,20,8.7
Cuxhaven,53.87,280.61,81,20,9.3
Barrow,-38.31,303.93,16,32,7.96
Sioux Lookout,50.1,255.73,64,75,4.6
Georgetown,6.8,300.68,88,75,1.0
Ewa Beach,21.32,292.87,83,20,1.5
Bambous Virieux,-20.34,299.09,94,75,1.5
Geraldton,49.72,260.15,71,90,5.7
Bouza,14.42,298.29,11,0,4.46
Lima,-12.06,296.15,73,90,1.5
Ketchikan,55.34,274.18,70,90,2.6
Wahiawa,21.5,292.89,93,1,0.13
Auki,12.18,298.57,17,55,4.01
Marsa Matruh,31.35,293.15,64,40,4.1
Coahuayana,18.62,303.49,44,0,1.03
Port Blair,11.67,299.2,75,5,7.72
Hovd,63.83,272.63,92,90,6.2
Padang,-0.92,293.4,93,100,2.19
Port Elizabeth,39.31,279.57,48,1,3.6
New Norfolk,-42.78,285.55,62,100,4.1
Mahebourg,-20.41,299.12,94,75,1.5
Ancud,-41.87,290.15,67,75,1.5
Mar del Plata,-46.43,290.08,50,61,7.49
Jamestown,-33.21,295.71,11,71,3.44
Pine Bluff,34.23,280.87,93,90,3.1
Saskylakh,71.97,248.67,93,91,3.39
Carutapera,-1.2,301.1,75,20,6.04
Concepcion del Oro,24.63,292.66,32,0,1.32
Ornskoldsvik,63.29,268.6,100,100,2.6
Duvan,55.69,272.09,88,100,7.21
Khatanga,71.98,248.39,85,53,1.7
Kamina,-8.74,291.19,97,99,2.42
Koslan,63.46,273.24,89,100,6.22
Butaritari,3.07,299.72,75,100,3.75
Ust-Uda,54.17,265.77,86,100,2.81
Waynesville,37.83,284.81,62,1,5.7
Kapaa,22.08,292.63,93,1,4.1
Fort Nelson,58.81,258.15,84,75,1.5
Zlitan,32.47,293.8,36,100,3.96
Nioro,13.79,306.4,13,100,3.27
Yellowknife,62.45,238.15,73,40,3.6
North Platte,41.12,282.94,75,1,3.17
Kanye,-24.98,292.26,86,83,2.22
East London,-33.02,292.15,77,40,4.6
Ribeira Grande,38.52,292.15,88,75,5.7
Esperance,-33.86,285.15,76,90,2.6
Broome,52.47,280.31,75,40,7.7
Tuatapere,-46.13,283.15,84,12,4.47
Pevek,69.7,253.57,94,100,6.35
Hasaki,35.73,274.75,80,20,2.6
Uyskoye,54.37,266.78,86,56,2.42
Pangnirtung,66.15,262.15,61,75,4.1
Marrakesh,31.63,291.15,59,20,2.6
Carnarvon,-30.97,293.3,49,78,10.25
Rikitea,-23.12,296.12,80,92,11.91
Bluff,-23.58,295.59,74,16,4.47
Cherskiy,68.75,242.98,98,100,0.86
Waingapu,-9.65,302.26,71,19,1.6
Healdsburg,38.61,285.05,100,90,2.1
Nikolskoye,59.7,275.18,83,75,7.0
Berlevag,70.86,271.67,92,90,4.6
Lokosovo,61.13,261.89,95,81,3.58
Stony Mountain,50.09,254.95,70,40,7.2
Nizwa,22.93,292.43,75,66,1.02
Rome,41.89,285.72,76,75,0.5
Belyy Yar,53.6,272.15,86,75,6.0
Verkhoyansk,67.55,237.42,80,0,0.67
Mangrol,25.33,288.76,54,0,2.76
Nanortalik,60.14,273.59,66,100,6.59
Kavieng,-2.57,302.07,73,100,3.52
Katiola,8.14,305.15,40,20,3.1
Chuy,-33.69,301.81,33,0,3.64
Karratha,-20.74,302.84,46,0,8.16
Victoria,5.28,297.59,88,75,1.5
Tiksi,71.64,241.42,83,1,2.92
